image_path,x1,y1,x2,y2,text
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,196,144,1272,220,Log In
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,196,135,196,228,My Account
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,0,280,1440,378,LOG IN WITH YOUR EMAIL
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,53,688,1387,828,LOGIN
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,53,881,394,938,Forgot Password?
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,1041,881,1387,938,Forgot your email?
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,53,991,633,1067,Keep Me Logged In
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,53,1102,53,1102,Enable Fingerprint Upon Login
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,0,280,0,280,OR LOG IN WITH FACEBOOK
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,0,280,0,280,Log in with Facebook
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,1100,1208,1387,1265,Create Account
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,0,280,0,280,CANCEL
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,35,119,805,195,ACCOUNT MANAGEMENT
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,292,770,368,Add Airtime for a Friend
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,465,656,541,Notification History
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,638,540,714,WiFi Optimizer
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,811,563,887,Support & More
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,984,571,1060,Share Feedback
D:/Downloads/unique_uis/combined_rico_test/10220.jpg,175,1157,508,1233,Store Locator
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,196,144,1272,220,Log In
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,196,135,196,228,My Account
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,280,1440,378,LOG IN WITH YOUR EMAIL
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,53,688,1387,828,LOGIN
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,53,881,394,938,Forgot Password?
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,1041,881,1387,938,Forgot your email?
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,53,991,633,1067,Keep Me Logged In
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,53,1102,53,1102,Enable Fingerprint Upon Login
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,280,0,280,OR LOG IN WITH FACEBOOK
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,280,0,280,Log in with Facebook
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,1100,1208,1387,1265,Create Account
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,280,0,280,CANCEL
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,119,-34,195,ACCOUNT MANAGEMENT
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,292,-69,368,Add Airtime for a Friend
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,465,-183,541,Notification History
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,638,-299,714,WiFi Optimizer
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,811,-276,887,Support & More
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,984,-268,1060,Share Feedback
D:/Downloads/unique_uis/combined_rico_test/10221.jpg,0,1157,-331,1233,Store Locator
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,196,144,1272,220,Turn on WiFi Optimizer
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,196,135,196,228,My Account
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,53,326,1387,666,Wi-Fi Optimizer provides a better data experience by automatically connecting to available reputable Wi-Fi hotspots whenever youre near them. Each hotspot is tested to ensure that you only connect to quality hotspots.
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,211,740,1405,806,MAXIMIZE WIFI MANAGEMENT
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,211,806,1315,863,Connect to Wi-Fi whenever available to save the most data
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,211,937,1405,1003,OPTIMIZE WIFI MANAGEMENT
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,211,1003,1352,1109,Look for Wi-Fi connections in the background for moderate data savings
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,213,1183,1405,1249,DISABLE WIFI MANAGEMENT
D:/Downloads/unique_uis/combined_rico_test/10222.jpg,213,1249,1187,1306,Do not automate Wi-Fi connections or management
D:/Downloads/unique_uis/combined_rico_test/10223.jpg,0,84,0,84,Loading
D:/Downloads/unique_uis/combined_rico_test/10223.jpg,187,84,1072,266,https://www.totalwireless.com/wps/wcm/connect/totalwireless%20en/Support/TouchChat/inqChat
D:/Downloads/unique_uis/combined_rico_test/10224.jpg,196,135,196,228,My Account
D:/Downloads/unique_uis/combined_rico_test/10224.jpg,293,117,1104,243,94101
D:/Downloads/unique_uis/combined_rico_test/10225.jpg,196,144,1272,220,Support & More
D:/Downloads/unique_uis/combined_rico_test/10225.jpg,196,135,196,228,My Account
D:/Downloads/unique_uis/combined_rico_test/10225.jpg,212,360,533,445,FAQs
